Dorian Blues (2004),Comedy
My Best Friend (Mon meilleur ami) (2006),Comedy
"Edge of Heaven, The (Auf der anderen Seite) (2007)",Drama
Drained (O cheiro do Ralo) (2006),Comedy
To the Left of the Father (Lavoura Arcaica) (2001),Drama
Napoléon (1927),Drama|War
Delirious (2006),Comedy|Drama
Stargate: The Ark of Truth (2008),Action|Fantasy|Sci-Fi
Fiorile (1993),Drama
Shelter (2007),Drama|Romance
Lake of Fire (2006),Documentary
Z Channel: A Magnificent Obsession (2004),Documentary
Stargate: Continuum (2008),Sci-Fi
Absolute Giganten (1999),Action|Comedy|Drama|Romance
"House Bunny, The (2008)",Comedy
Six Shooter (2004),Comedy|Drama
"Manson Family, The (2003)",Crime|Drama|Horror
"Pervert's Guide to Cinema, The (2006)",Documentary
Waiter (Ober) (2006),Comedy
Ben X (2007),Drama
Defiance (2008),Drama|Thriller|War
Land of Silence and Darkness (Land des Schweigens und der Dunkelheit) ,Documentary
Through the Olive Trees (Zire darakhatan zeyton) (1994),Drama
"Curiosity of Chance, The (2006)",Comedy
Padre padrone (1977),Drama
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008)",Documentary
Earth Entranced (Terra em Transe) (1967),Drama
Peter Pan (1960),Children|Fantasy|Musical
Gentlemen of Fortune (Dzhentlmeny udachi) (1972),Comedy|Crime|Drama|Mystery
"Room, The (2003)",Comedy|Drama|Romance
Aria (1987),Comedy|Drama
This Is the Army (1943),Comedy|Musical|War
State of Siege (État de siège) (1972),Drama|Thriller
"Northerners, The (De noorderlingen) (1992)",Comedy
"Two Escobars, The (2010)",Crime|Documentary
Howl (2010),Drama
Voyeur (Abel) (1986),Comedy
Secretariat (2010),Adventure|Drama
Zerophilia (2005),Comedy|Romance
"Goat, The (1921)",Comedy
"Play House, The (1921)",Comedy
Cops (1922),Comedy
All-Star Superman (2011),Action|Adventure|Animation|Sci-Fi
Mildred Pierce (2011),Drama
Something Borrowed (2011),Comedy|Drama|Romance
"Myth of the American Sleepover, The (2010)",Comedy|Drama|Romance
Albert Nobbs (2011),Drama
Friends with Kids (2011),Comedy
"Disappearance of Haruhi Suzumiya, The (Suzumiya Haruhi no shôshitsu) (",Adventure|Animation|Drama|Mystery|Sci-Fi
Dylan Moran: Monster (2004),Comedy|Documentary
Trailer Park Boys (1999),Comedy|Crime
Undefeated (2011),Documentary
Eaux d'artifice (1953),Fantasy
Jack-Jack Attack (2005),Adventure|Animation|Children|Comedy
One Man Band (2005),Animation|Comedy|Musical
Bleak House (2005),Drama
Holy Motors (2012),Drama|Fantasy|Musical|Mystery|Sci-Fi
Kon-Tiki (2012),Adventure|Documentary|Drama
Side by Side (2012),Documentary
"Patience Stone, The (2012)",Drama|War
Capital (Le capital) (2012),Drama
Caesar Must Die (Cesare deve morire) (2012),Drama
Burn Up! (1991),Action|Animation
Yossi (Ha-Sippur Shel Yossi) (2012),Drama|Romance
Neighbouring Sounds (O som ao redor) (2012),Drama|Thriller
Wrong (2012),Comedy|Drama
It's Such a Beautiful Day (2012),Animation|Comedy|Drama|Fantasy|Sci-Fi
Frozen Planet (2011),Documentary
Death on the Staircase (Soupçons) (2004),Crime|Documentary
Wolf Children (Okami kodomo no ame to yuki) (2012),Animation|Fantasy
Bill Hicks: Revelations (1993),Comedy
Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet profess,Adventure|Comedy
"Past, The (Le passé) (2013)",Drama|Mystery|Romance
"Angel Named Billy, An (2007)",Drama
"Forsyte Saga, The (1967)",Drama
One Piece Film: Strong World (2009),Action|Adventure|Animation|Comedy|Fantasy
"Kidnapping, Caucasian Style (Kavkazskaya plennitsa) (1967)",Comedy|Romance
Wrong Cops (2013),Comedy|Crime
Fireworks Wednesday (Chaharshanbe-soori) (2006),Drama|Mystery|Romance
Am Ende eiens viel zu kurzen Tages (Death of a superhero) (2011),Animation|Drama
Borgman (2013),Thriller
"Like Father, Like Son (Soshite chichi ni naru) (2013)",Drama
Generation Kill (2008),Drama|War
"Journey, The (El viaje) (1992)",Drama
"Centenarian Who Climbed Out the Window and Vanished, The (Hundraåringe",Adventure|Comedy|Drama
Willie & Phil (1980),Comedy|Drama|Romance
Helter Skelter (1976),Crime|Drama|Thriller
Mei and the Kittenbus (2002),Animation|Fantasy
Bill Hicks: Relentless (1992),Comedy
Robin Williams: Weapons of Self Destruction (2009),Comedy
The Car (1977),Horror|Mystery|Thriller
Ben-hur (2016),(no genres listed)
The Pacific (2010),Action|Adventure|Drama|War
Operation 'Y' & Other Shurik's Adventures (1965),Comedy|Crime|Romance
Brooklyn (2015),Drama|Romance
Back Soon (2007),Drama|Romance
Victoria (2015),(no genres listed)
An Evening with Robin Williams (1982),Comedy
Reality (2014),Comedy
George Carlin: It's Bad for Ya! (2008),Comedy
The Brave Little Toaster Goes to Mars (1998),Animation|Children
George Carlin: Life Is Worth Losing (2005),Comedy
Seve (2014),Documentary|Drama
George Carlin: Back in Town (1996),Comedy
George Carlin: You Are All Diseased (1999),Comedy
Ghost in the Shell 2.0 (2008),Action|Animation|Sci-Fi
Hands in the Air (2010),Comedy|Drama|Romance
Requiem For The Big East (2014),Documentary
George Carlin: Jammin' in New York (1992),Comedy
Eighteen (2005),Drama
Get Your Stuff (2000),Drama|Romance
The Man I Love (1997),Drama
10 Attitudes (2001),Comedy|Drama|Romance
16 Wishes (2010),Children|Drama|Fantasy
29th and Gay (2005),Comedy
Almost Normal (2005),Comedy|Drama|Sci-Fi
Long-Term Relationship (2006),Comedy|Romance
The Big Gay Musical (2009),Comedy|Drama|Romance
The Biggest Fan (2002),Comedy|Romance
Boy Crazy (2009),(no genres listed)
FAQs (2005),Drama
War Room (2015),Drama
The Dress (1996),Comedy|Drama
Tiger Orange (2014),Drama
Romeos (2011),Drama
Bone Tomahawk (2015),Horror|Western
Straight-Jacket (2004),Comedy
Schneider vs. Bax (2015),Comedy|Thriller
World of Tomorrow (2015),Animation|Comedy
Making a Murderer (2015),Documentary
Me Before You (2016),Drama|Romance
The Last Days of Emma Blank (2009),Comedy
Ice Age: The Great Egg-Scapade (2016),Adventure|Animation|Children|Comedy
Survive and Advance (2013),(no genres listed)
The Last Brickmaker in America (2001),Drama
Rustom (2016),Romance|Thriller
The Beatles: Eight Days a Week - The Touring Years (2016),Documentary
